# x_m,y_m,w_tr_right_m,w_tr_left_m
-193.637,-241.845,1.500,1.500
-194.384,-241.179,1.500,1.500
-195.093,-240.472,1.500,1.500
-195.762,-239.726,1.500,1.500
-196.387,-238.944,1.500,1.500
-196.968,-238.129,1.500,1.500
-197.502,-237.283,1.500,1.500
-197.989,-236.407,1.500,1.500
-198.425,-235.506,1.500,1.500
-198.811,-234.582,1.500,1.500
-199.144,-233.638,1.500,1.500
-199.424,-232.677,1.500,1.500
-199.649,-231.702,1.500,1.500
-199.820,-230.715,1.500,1.500
-199.936,-229.721,1.500,1.500
-199.994,-228.722,1.500,1.500
-200.005,-227.720,1.500,1.500
-200.004,-226.719,1.500,1.500
-200.005,-225.718,1.500,1.500
-200.005,-224.717,1.500,1.500
-200.005,-223.716,1.500,1.500
-200.006,-222.715,1.500,1.500
-200.006,-221.714,1.500,1.500
-200.007,-220.712,1.500,1.500
-200.007,-219.711,1.500,1.500
-200.007,-218.710,1.500,1.500
-200.008,-217.709,1.500,1.500
-200.008,-216.708,1.500,1.500
-200.009,-215.707,1.500,1.500
-200.009,-214.706,1.500,1.500
-200.009,-213.704,1.500,1.500
-200.010,-212.703,1.500,1.500
